Month,No_of_Banks_live_on_BHIM,Volume_in_Mn,Value_in_Cr
Aug-2023,360,24.32,7742.34
Jul-2023,282,24.66,8201.86
Jun-2023,282,22.9,7258.64
May-2023,280,22.8,7189.16
April-2023,277,23.61,7349.81
March-2023,274,23.53,7480.69
February-2023,273,23.06,7140.91
January-2023,272,24.79,8145.17
December-2022,272,25.31,8379.11
November-2022,269,24.83,8125.93
October-2022,267,25.36,8508.14
September-2022,263,25.02,8291.78
August-2022,262,24.83,7843.39
July-2022,258,24.32,7806.3
June-2022,253,22.5,7515.5
May-2022,247,26.47,9545.76
April-2022,245,25.6,8342.24
March-2022,241,24.79,8038.24
February-2022,238,23.18,7881.56
January-2022,225,25.74,8500.79
December-2021,216,27.01,8816.1
November-2021,211,25.13,8221.91
October-2021,203,27.16,8497.33
September-2021,202,25.25,7522.56
August-2021,197,26.21,8046.96
July-2021,194,23.65,7426.53
June-2021,188,22.74,7303.76
May-2021,182,20.92,6760.07
April-2021,180,22.16,6872.08
March-2021,180,24.32,7638.65
February-2021,178,20.36,6366.88
January-2021,173,23.28,7448.38
December-2020,165,24.71,7734.19
November-2020,160,23.47,7456.95
October-2020,152,24.44,7866.77
September-2020,146,21.33,7215.09
August-2020,133,20.36,6909.59
July-2020,133,19.77,7229.33
June-2020,132,17.87,6610.45
May-2020,132,16.8,6006.69
April-2020,130,13.9,4492.73
March-2020,130,17.05,6049.18
February-2020,130,18.4,6524.11
January-2020,129,18.54,6611.22
December-2019,128,17.82,6316.37
November-2019,125,15.76,5853.5
October-2019,120,16.96,6339.61
September-2019,119,17.18,5924.15
August-2019,117,16.89,6132.1
July-2019,114,16.01,6121.67
June-2019,111,15.49,6202.49
May-2019,112,15.77,6627.42
April-2019,113,15.15,6583.58
March-2019,111,14.92,6417.02
February-2019,109,12.83,5624.21
January-2019,109,13.98,6202.51
December-2018,109,17.06,7589.19
November-2018,108,17.35,7981.82
October-2018,106,18.27,8206.37
September-2018,102,16.33,7064.86
August-2018,99,16.5,6872.57
July-2018,99,16.42,6692.66
June-2018,92,16.34,6261.25
May-2018,92,14.16,5748.47
April-2018,89,12.6,4972.69
March-2018,82,11.95,4839.65
February-2018,78,9.88,4011.16
January-2018,67,9.57,3647.19
December-2017,65,9.07,3083.21
November-2017,60,8.19,2548.81
October-2017,59,7.63,2348.7
September-2017,55,7.6,2245.34
August-2017,55,6.81,1898.63
July-2017,52,5.43,1600.14
June-2017,49,4.62,1486.71
May-2017,44,3.98,1306.73
April-2017,44,3.19,1002.15
March-2017,44,2.46,823.1
February-2017,44,1.97,623.15
January-2017,35,1.72,356.5
December-2016,31,0.04,1.85
November-2016,-,-,-
October-2016,-,-,-
September-2016,-,-,-
August-2016,-,-,-
July-2016,-,-,-
June-2016,-,-,-
May-2016,-,-,-
April-2016,-,-,-
