,Name,Change%
0,puducherry,9178.844037453871
1,tamil nadu,6793.917980690927
2,uttar pradesh,13075.221717760582
3,madhya pradesh,13750.44782200792
4,andhra pradesh,20790.141282707027
5,tripura,9987.86750450256
6,lakshadweep,4980.725393047053
7,manipur,3386.1460643353616
8,maharashtra,11902.814233717536
9,dadra & nagar haveli & daman & diu,7727.999931646025
10,meghalaya,16631.264935643012
11,andaman & nicobar islands,34006.24435629439
12,haryana,9640.796452732107
13,rajasthan,18927.5578162836
14,ladakh,57278.00601690194
15,punjab,6883.0441826408005
16,assam,20206.60596627163
17,jharkhand,17683.554370486203
18,odisha,17173.02468470544
19,bihar,20179.453966001085
20,kerala,8548.555977743195
21,karnataka,14353.190911102025
22,chandigarh,2249.784224982106
23,telangana,20174.33537218328
24,himachal pradesh,7355.42311006513
25,west bengal,9398.561492660723
26,gujarat,8416.874107170846
27,sikkim,13171.811015636138
28,nagaland,10183.068622527098
29,mizoram,6957.269002402771
30,chhattisgarh,15401.755823685136
31,jammu & kashmir,7512.114052180787
32,goa,12541.551622912117
33,arunachal pradesh,21337.676979865402
34,delhi,5802.227988796367
35,uttarakhand,8787.559902686024
